DRIVER_INTELIGENTE_OFFLINE_ADDRESS	1
PLACE	pr-osm-415523014	Guaraci	-22.970394	-51.6479769
PLACE	pr-osm-416646652	Guaragi	-25.2754169	-50.2339607
PLACE	pr-osm-2630656215	Guarani	-24.4584738	-52.5758818
PLACE	pr-osm-416646324	Guarani	-25.19311	-52.656189
PLACE	pr-osm-415523459	Guaraniaçu	-25.10035	-52.867811
PLACE	pr-osm-415523396	Guarapuava	-25.3950986	-51.4622016
PLACE	pr-osm-415523644	Guaraqueçaba	-25.2983566	-48.3290185
PLACE	pr-osm-364114784	Guaratuba	-25.8806192	-48.5750905
PLACE	pr-osm-416645231	Guaravera	-23.6099128	-51.1866732
PLACE	pr-osm-4348799243	Guaraí	-25.2192441	-52.4697329
PLACE	pr-osm-416646583	Guaraúna	-25.3244123	-50.3592253
PLACE	pr-osm-416646566	Guará	-25.3769619	-51.2842213
PLACE	pr-osm-319170063	Guaíra	-24.0851924	-54.2567519
PLACE	pr-osm-11506248137	Guiaracá	-23.6044683	-50.9765786
PLACE	pr-osm-416657010	Herculândia	-23.2637784	-53.4047405
PLACE	pr-osm-416646610	Herveira	-24.5385747	-52.7448686
PLACE	pr-osm-5955766870	Herveira	-24.0148496	-50.4279158
PLACE	pr-osm-415523415	Honório Serpa	-26.143149	-52.383794
PLACE	pr-osm-415523057	Ibaiti	-23.8452962	-50.1905666
PLACE	pr-osm-2063662460	Ibema	-24.9409921	-51.3757348
PLACE	pr-osm-415523487	Ibema	-25.1192916	-53.0071928
PLACE	pr-osm-416645255	Ibiaci	-22.9382293	-51.0225551
PLACE	pr-osm-415522990	Ibiporã	-23.2684137	-51.0475907
PLACE	pr-osm-3667867711	Ibiracema	-25.3563991	-53.293991
PLACE	pr-osm-415522891	Icaraíma	-23.3948345	-53.6162036
PLACE	pr-osm-416645181	Icatu	-22.9738906	-53.3953347
PLACE	pr-osm-415522972	Iguaraçu	-23.1972911	-51.8244524
PLACE	pr-osm-415523483	Iguatu	-24.7170385	-53.0865561
PLACE	pr-osm-416646139	Iguiporã	-24.5625466	-54.2108341
PLACE	pr-osm-415523559	Imbaú	-24.447597	-50.7557188
PLACE	pr-osm-415523436	Imbituva	-25.2293338	-50.6051002
PLACE	pr-osm-415523020	Inajá	-22.7530214	-52.1976067
PLACE	pr-osm-12990026372	Indianópolis	-22.7665956	-51.2155151
PLACE	pr-osm-415522911	Indianópolis	-23.4807249	-52.6987037
PLACE	pr-osm-415523457	Inácio Martins	-25.5725435	-51.0764637
PLACE	pr-osm-416646322	Iolópolis	-25.6722038	-52.8741517
PLACE	pr-osm-415523560	Ipiranga	-25.0239759	-50.5854615
PLACE	pr-osm-415523489	Iporã	-24.0039474	-53.7100595
PLACE	pr-osm-415523466	Iracema do Oeste	-24.427888	-53.3539137
PLACE	pr-osm-416645197	Irapuan	-23.764038	-52.096618
PLACE	pr-osm-415523434	Irati	-25.469663	-50.649287
PLACE	pr-osm-416645226	Irerê	-23.505325	-51.1261455
PLACE	pr-osm-415523521	Iretama	-24.4205941	-52.1013532
PLACE	pr-osm-415523013	Itaguajé	-22.618282	-51.967351
PLACE	pr-osm-416646701	Itaiacoca	-25.1424312	-49.8838382
PLACE	pr-osm-415523128	Itaipulândia	-25.1417007	-54.2980691
PLACE	pr-osm-415523032	Itambaracá	-23.0176678	-50.406887
PLACE	pr-osm-415522953	Itambé	-23.659424	-51.9903555
PLACE	pr-osm-416646565	Itapará	-25.472203	-51.037085
PLACE	pr-osm-5437464576	Itapejara d'Oeste	-25.9651274	-52.8149217	Itapejara do Oeste
PLACE	pr-osm-415523604	Itaperuçu	-25.2212291	-49.3458394	Itaperussu
PLACE	pr-osm-415522938	Itaúna do Sul	-22.7302304	-52.8854393
PLACE	pr-osm-416645189	Ivailândia	-23.7221801	-52.1785725	Ivailandia
PLACE	pr-osm-415523492	Ivaiporã	-24.2433517	-51.6719268
PLACE	pr-osm-416645201	Ivaitinga	-23.2237483	-52.3524175
PLACE	pr-osm-415522946	Ivatuba	-23.618722	-52.2174491
PLACE	pr-osm-415522898	Ivaté	-23.4084656	-53.3698352
PLACE	pr-osm-415523502	Ivaí	-25.0069795	-50.8568896	Ivai
PLACE	pr-osm-416657013	Ivaína	-23.080327	-53.345738
PLACE	pr-osm-416645225	Içara	-23.1709863	-51.633924
PLACE	pr-osm-415523047	Jaboti	-23.7419073	-50.0752639
PLACE	pr-osm-415523065	Jacarezinho	-23.1590428	-49.9739664
PLACE	pr-osm-416646599	Jaciaba	-24.8387926	-51.3007501
PLACE	pr-osm-416646305	Jacutinga	-25.7313588	-53.4666221
PLACE	pr-osm-416646589	Jacutinga	-24.2470666	-51.5619993
PLACE	pr-osm-415522983	Jaguapitã	-23.1102516	-51.5327741
PLACE	pr-osm-415523634	Jaguariaíva	-24.2589699	-49.7201518
PLACE	pr-osm-415522964	Jandaia do Sul	-23.6003907	-51.645674
PLACE	pr-osm-416646185	Jangada	-24.0115361	-53.5272467
PLACE	pr-osm-416646544	Jangada do Sul	-26.4013639	-51.319827
PLACE	pr-osm-415523511	Janiópolis	-24.140124	-52.77836
PLACE	pr-osm-415523056	Japira	-23.8119773	-50.1397133
PLACE	pr-osm-415522919	Japurá	-23.469273	-52.55572
PLACE	pr-osm-415523491	Jardim Alegre	-24.1795192	-51.6927177
PLACE	pr-osm-2108111152	Jardim Gralha Azul	-25.1376112	-50.199056
PLACE	pr-osm-7717895003	Jardim John Kennedy	-23.2565564	-50.9987605
PLACE	pr-osm-5369249191	Jardim Olinda	-22.5520625	-52.036373
PLACE	pr-osm-416645149	Jardim Paredão	-23.9523567	-53.9480977
PLACE	pr-osm-5641794995	Jardim Planalto	-25.7861742	-49.3174822
PLACE	pr-osm-3884987104	Jardim Santa Rita de Cássia	-25.3423528	-49.0894339
PLACE	pr-osm-5641783145	Jardim Santo Ângelo	-25.7909152	-49.3172003
PLACE	pr-osm-4511155547	Jardim São Cristovão	-23.071992	-52.5984359
PLACE	pr-osm-416766204	Jardinópolis	-25.411599	-54.0402145
PLACE	pr-osm-415522991	Jataizinho	-23.257815	-50.977748
PLACE	pr-osm-415523484	Jesuítas	-24.3807263	-53.3855699
PLACE	pr-osm-415523061	Joaquim Távora	-23.4999724	-49.9232545	Joaquim Tavora
PLACE	pr-osm-416646639	José Lacerda	-24.4931322	-50.8203849
PLACE	pr-osm-2061902535	Jotaesse	-24.6417177	-53.468981
PLACE	pr-osm-416645290	Joá	-23.4110468	-49.8671194
PLACE	pr-osm-415523050	Jundiaí do Sul	-23.4369861	-50.2478173
PLACE	pr-osm-415523470	Juranda	-24.420866	-52.841344
PLACE	pr-osm-415522909	Jussara	-23.621931	-52.46931
PLACE	pr-osm-416646313	Juvinópolis	-25.2616733	-53.3402159
PLACE	pr-osm-415522970	Kaloré	-23.8242643	-51.6683666
PLACE	pr-osm-7804605919	KM 02	-24.9536512	-54.0827484
PLACE	pr-osm-3066035164	Km 41	-24.6711683	-53.9820284
PLACE	pr-osm-8529742497	Km 5	-24.6390615	-54.2793713
PLACE	pr-osm-5272219210	Lageado Bonito	-25.3722292	-53.0012576
PLACE	pr-osm-416657952	Lagoa	-24.2221149	-50.5446841
PLACE	pr-osm-1970018806	Lagoa Seca	-25.4485659	-51.9244124
PLACE	pr-osm-2193729082	Lagoas	-25.4829109	-54.5080032
PLACE	pr-osm-416646641	Lajeado Bonito	-24.1706855	-50.7660136
PLACE	pr-osm-416645240	Lambari	-23.8627101	-50.6655898
PLACE	pr-osm-415523613	Lapa	-25.76709	-49.716777
PLACE	pr-osm-415523471	Laranjal	-24.8909736	-52.4726747
PLACE	pr-osm-415523419	Laranjeiras do Sul	-25.4073197	-52.4150132
PLACE	pr-osm-416645284	Lavrinha	-23.8925282	-50.0669074
PLACE	pr-osm-9913850734	Lavrinhas	-25.1135816	-51.2947217
PLACE	pr-osm-5174969805	Leonardos	-24.4206296	-50.8844179
PLACE	pr-osm-416645232	Lerroville	-23.6917614	-51.088492
PLACE	pr-osm-415522996	Leópolis	-23.0789091	-50.7501808
PLACE	pr-osm-415523500	Lidianópolis	-24.1073464	-51.6525676
PLACE	pr-osm-415523262	Lindoeste	-25.2608275	-53.5758136
PLACE	pr-osm-7804605913	Linha Dois Vizinhos	-24.9437909	-54.1433357
PLACE	pr-osm-3066033365	Linha General Osório	-24.7062239	-53.8889553
PLACE	pr-osm-6296783414	Linha Israel	-25.3948807	-52.9439157
PLACE	pr-osm-7804625444	Linha Jacaré	-25.0131562	-54.142646
PLACE	pr-osm-3066041490	Linha Mandarina	-24.8431809	-53.7322575
PLACE	pr-osm-5272147913	Linha Mirim	-25.3906842	-52.9750168
PLACE	pr-osm-7804604559	Linha Ponte Nova	-25.0078537	-54.116279
PLACE	pr-osm-7804605914	Linha Ponte Queimada	-24.9030275	-54.207134
PLACE	pr-osm-7804604575	Linha Roselito	-25.0280931	-54.129163
PLACE	pr-osm-7804605911	Linha Santa Maria	-24.9639069	-54.144988
PLACE	pr-osm-7804605912	Linha Santa Terezinha	-24.9556585	-54.166789
PLACE	pr-osm-3066029550	Linha São Paulo	-24.6451894	-53.8014774
PLACE	pr-osm-3066033656	Linha Tapuí	-24.7887131	-53.7693862
PLACE	pr-osm-3066035206	Linha União	-24.6681167	-54.0144475
PLACE	pr-osm-7804604557	Linha Vila Bonita	-24.989211	-54.1333745
PLACE	pr-osm-415522928	Loanda	-22.9320944	-53.1352452
PLACE	pr-osm-415523025	Lobato	-23.0077055	-51.9524309
PLACE	pr-osm-359501477	Londrina	-23.3112878	-51.1595023
PLACE	pr-osm-4897216664	Longuinópolis	-24.7551541	-53.0385424
PLACE	pr-osm-416645164	Lovat	-23.7686653	-53.199675
PLACE	pr-osm-416645196	Luar	-23.958176	-51.9153342
PLACE	pr-osm-415523520	Luiziana	-24.2838237	-52.2767531
PLACE	pr-osm-415523505	Lunardelli	-24.0793542	-51.7421822
PLACE	pr-osm-415523018	Lupionópolis	-22.7558205	-51.6575301
PLACE	pr-osm-416645244	Mairá	-22.6990586	-51.6419875
PLACE	pr-osm-415523427	Mallet	-25.8829457	-50.8289338
PLACE	pr-osm-416766143	Malu	-23.673805	-52.3814201
PLACE	pr-osm-415523512	Mamborê	-24.3084433	-52.5298446
PLACE	pr-osm-5955730956	Mambucas	-23.9558665	-50.6848947
PLACE	pr-osm-415522973	Mandaguari	-23.5224849	-51.6787511
PLACE	pr-osm-415522961	Mandaguaçu	-23.3485076	-52.0966215
PLACE	pr-osm-415523609	Mandirituba	-25.7772457	-49.3279107
PLACE	pr-osm-415523324	Manfrinópolis	-26.1440729	-53.3113372
PLACE	pr-osm-415523416	Mangueirinha	-25.9412009	-52.1740852
PLACE	pr-osm-415523498	Manoel Ribas	-24.5177239	-51.6685729
PLACE	pr-osm-416645161	Marabá	-23.753874	-52.76928
PLACE	pr-osm-6829223182	Maracajú dos Gauchos	-24.2028545	-54.1995714
PLACE	pr-osm-416645229	Maravilha	-23.4625428	-50.9994533
PLACE	pr-osm-416646268	Maravilha	-25.637871	-53.5165896
PLACE	pr-osm-416646255	Marcionópolis	-26.1096559	-53.6475324
PLACE	pr-osm-319206254	Marechal Cândido Rondon	-24.5582532	-54.0587821
PLACE	pr-osm-4516897241	Marechal Lott	-25.5314616	-53.66685
PLACE	pr-osm-416646138	Margarida	-24.6495726	-54.1255115
PLACE	pr-osm-415522896	Maria Helena	-23.6139395	-53.206135
PLACE	pr-osm-415522979	Marialva	-23.4820987	-51.795788
PLACE	pr-osm-416646650	Mariental	-25.721371	-49.646547
PLACE	pr-osm-415522929	Marilena	-22.7358333	-53.04
PLACE	pr-osm-416646615	Marilu	-24.4195223	-52.2031812
PLACE	pr-osm-415523514	Mariluz	-24.0031216	-53.148113
PLACE	pr-osm-415522981	Marilândia do Sul	-23.7462425	-51.3021452
PLACE	pr-osm-416766177	Marimbondo	-23.55663	-49.6783777
PLACE	pr-osm-415522962	Maringá	-23.425269	-51.9382078
PLACE	pr-osm-415523479	Maripá	-24.419978	-53.828641
PLACE	pr-osm-416645204	Maristela	-23.1284598	-52.2952459
PLACE	pr-osm-416645206	Mariza	-23.772778	-51.9365077
PLACE	pr-osm-415523326	Mariópolis	-26.3518327	-52.5491563
PLACE	pr-osm-415523328	Marmeleiro	-26.1472	-53.026741
PLACE	pr-osm-416646269	Marmelândia	-25.5657406	-53.5737687
PLACE	pr-osm-2023635586	Marquesita	-25.3640165	-53.9645844
PLACE	pr-osm-415523508	Marquinho	-25.1133759	-52.2581854
PLACE	pr-osm-4494748589	Martinópolis D'Oeste	-24.0936148	-52.6979365
PLACE	pr-osm-415522966	Marumbi	-23.7070343	-51.6408276
PLACE	pr-osm-2783858848	Matelândia	-25.2404183	-53.9835004
PLACE	pr-osm-415523642	Matinhos	-25.8187096	-48.534204
PLACE	pr-osm-5958417786	Mato Bom	-24.0389047	-50.4872702
PLACE	pr-osm-415523510	Mato Rico	-24.7045571	-52.1493001
PLACE	pr-osm-415522980	Mauá da Serra	-23.9045517	-51.2261166
PLACE	pr-osm-415523126	Medianeira	-25.2954233	-54.0940666
PLACE	pr-osm-416657051	Mendeslândia	-22.8610487	-51.7722805	Mendeslandia
PLACE	pr-osm-415523134	Mercedes	-24.4504957	-54.1647255
PLACE	pr-osm-415522912	Mirador	-23.257015	-52.7756432
PLACE	pr-osm-416646571	Mirante do Piquiri	-24.2024527	-53.3923602
PLACE	pr-osm-415523037	Miraselva	-22.9675823	-51.4847793
PLACE	pr-osm-415523131	Missal	-25.0913359	-54.2476738
PLACE	pr-osm-416646635	Monjolinho	-24.3640452	-50.8791272
PLACE	pr-osm-416645280	Monte Real	-23.2313724	-50.140452
PLACE	pr-osm-415523507	Moreira Sales	-24.0509413	-53.0101722
PLACE	pr-osm-7667453467	Moreninha	-24.9597218	-54.2644137
PLACE	pr-osm-277438440	Morretes	-25.4768503	-48.8322501
PLACE	pr-osm-1968984004	Morro Verde	-25.8403141	-52.2012393
PLACE	pr-osm-415522974	Munhoz de Mello	-23.1486583	-51.7737332	Munhoz de Melo
PLACE	pr-osm-416646642	Natingui	-24.0236196	-50.8053594
PLACE	pr-osm-7667453466	Navegantes	-25.0083515	-54.2506921
PLACE	pr-osm-416645150	Nilza	-23.9754062	-53.9003463	Vila Nilza
PLACE	pr-osm-416645175	Nordestina	-23.1903299	-52.8591081
PLACE	pr-osm-416645289	Nossa Senhora Aparecida	-22.966178	-50.268542
PLACE	pr-osm-416645218	Nossa Senhora da Aparecida	-23.2103195	-51.374256
PLACE	pr-osm-416645281	Nossa Senhora da Candelária	-23.1614135	-50.2514348
PLACE	pr-osm-2061902539	Nossa Senhora da Penha	-24.719694	-53.2491634
PLACE	pr-osm-415523015	Nossa Senhora das Graças	-22.9138823	-51.7962681
PLACE	pr-osm-415522917	Nova Aliança do Ivaí	-23.176271	-52.603244
PLACE	pr-osm-416645220	Nova Altamira	-23.8916889	-51.3573953
PLACE	pr-osm-416645221	Nova Amoreira	-23.8371509	-51.3206343
PLACE	pr-osm-415523011	Nova América da Colina	-23.3315888	-50.7182735
PLACE	pr-osm-415523464	Nova Aurora	-24.5282336	-53.2576703
PLACE	pr-osm-416645200	Nova Bilac	-23.2930185	-52.3975185
PLACE	pr-osm-416645272	Nova Brasília do Itararé	-23.5446511	-49.7386295
PLACE	pr-osm-415523472	Nova Cantu	-24.6739252	-52.5731265
PLACE	pr-osm-416646318	Nova Concórdia	-25.9779938	-53.0042054
PLACE	pr-osm-415522951	Nova Esperança	-23.1818437	-52.1999852
PLACE	pr-osm-415523330	Nova Esperança do Sudoeste	-25.9004038	-53.2617627
PLACE	pr-osm-3426937715	Nova Espero	-26.0922975	-52.6465301
PLACE	pr-osm-415523008	Nova Fátima	-23.433056	-50.5618055
PLACE	pr-osm-5272218530	Nova Italia	-25.3422811	-53.0161713
PLACE	pr-osm-415523334	Nova Laranjeiras	-25.305376	-52.544682
PLACE	pr-osm-415522935	Nova Londrina	-22.7633621	-52.9875908
PLACE	pr-osm-416646329	Nova Lourdes	-25.7864251	-52.8391306
PLACE	pr-osm-415522900	Nova Olímpia	-23.4699403	-53.090112
PLACE	pr-osm-415523321	Nova Prata do Iguaçu	-25.6325323	-53.3463611
PLACE	pr-osm-415523002	Nova Santa Bárbara	-23.5860638	-50.7638011
PLACE	pr-osm-415523482	Nova Santa Rosa	-24.468132	-53.9547649
PLACE	pr-osm-415523522	Nova Tebas	-24.437958	-51.945357
PLACE	pr-osm-3066025101	Nova Videira	-24.7010045	-53.8076484
PLACE	pr-osm-3832547294	Novo Barro Preto	-24.1668279	-50.3014973	Barro Preto do Sul
PLACE	pr-osm-416646134	Novo Horizonte	-24.5176654	-54.1194107
PLACE	pr-osm-415522977	Novo Itacolomi	-23.7635774	-51.5076578
PLACE	pr-osm-416645285	Novo Jardim	-23.6609837	-50.1992847
PLACE	pr-osm-5272147366	Novo Rumo	-25.36992	-52.8633233
PLACE	pr-osm-416646578	Novo Sarandi	-24.5646431	-53.9051089
PLACE	pr-osm-416646152	Novo Sobradinho	-24.6248959	-53.7595031
PLACE	pr-osm-416646136	Novo Três Passos	-24.4773393	-54.0136935
PLACE	pr-osm-6007420685	Olho D'Água	-24.009551	-50.5351733
PLACE	pr-osm-416646170	Oroite	-24.120309	-53.723038
PLACE	pr-osm-415523554	Ortigueira	-24.2088891	-50.925043
PLACE	pr-osm-416646595	Ourilândia	-24.0317006	-52.1330257
PLACE	pr-osm-415522948	Ourizona	-23.4047001	-52.1954085
PLACE	pr-osm-2305130127	Ouro Preto	-24.6783252	-53.6159206
PLACE	pr-osm-416646698	Ouro Verde	-24.4203434	-49.3913301
PLACE	pr-osm-415523442	Ouro Verde do Oeste	-24.7741302	-53.906938
PLACE	pr-osm-416646569	Ouro Verde do Piquiri	-24.6384726	-53.2119475
PLACE	pr-osm-7667341744	Pacuri	-24.957325	-54.2979501
PLACE	pr-osm-416646526	Padre Ponciano	-26.4194428	-51.7839766
PLACE	pr-osm-416645228	Paiquerê	-23.5271029	-51.0828246
PLACE	pr-osm-415522960	Paiçandu	-23.4575884	-52.048988	Paissandu
PLACE	pr-osm-415523385	Palmas	-26.483868	-51.988812
PLACE	pr-osm-415523615	Palmeira	-25.4269718	-49.9987787
PLACE	pr-osm-416646495	Palmeirinha	-25.2481896	-51.5473154
PLACE	pr-osm-416646653	Palmira	-25.67412	-50.155493
PLACE	pr-osm-2332050865	Palmital	-24.5736402	-50.95534
PLACE	pr-osm-415523509	Palmital	-24.8842985	-52.2113941
PLACE	pr-osm-2632653791	Palmitolândia	-24.6533662	-53.5571503
PLACE	pr-osm-416646573	Palmitópolis	-24.5753431	-53.3786742
PLACE	pr-osm-415523480	Palotina	-24.2839929	-53.8405463
PLACE	pr-osm-416766182	Panema	-22.9541774	-50.5862526
PLACE	pr-osm-416646666	Pangaré	-25.916523	-49.483543
PLACE	pr-osm-416646651	Papagaios Novos	-25.404242	-50.134808
PLACE	pr-osm-415523022	Paranacity	-22.9304971	-52.1523164
PLACE	pr-osm-416645250	Paranagi	-22.8505297	-50.8734265
PLACE	pr-osm-277429530	Paranaguá	-25.5148822	-48.5226695
PLACE	pr-osm-415523027	Paranapoema	-22.6561084	-52.0865163
PLACE	pr-osm-415522920	Paranavaí	-23.08165	-52.461724
PLACE	pr-osm-416646187	Paraná d'Oeste	-24.1095467	-52.8891676	Paraná do Oeste
PLACE	pr-osm-3429298393	Paraíso	-25.7623766	-52.7675066
PLACE	pr-osm-415522916	Paraíso do Norte	-23.2841185	-52.6024125
PLACE	pr-osm-2329533799	Passo do Pupo	-25.1438051	-49.9624798
PLACE	pr-osm-416646527	Passo Liso	-25.2939904	-52.3008536
PLACE	pr-osm-415523137	Pato Bragado	-24.6270545	-54.2264587
PLACE	pr-osm-353659699	Pato Branco	-26.2295984	-52.6712474
PLACE	pr-osm-416646564	Patos Velhos	-25.371115	-50.9814214
PLACE	pr-osm-416656995	Patrimônio Elisa	-23.7531114	-53.6246457
PLACE	pr-osm-360043304	Patrimônio Regina	-23.4103358	-51.2223778
PLACE	pr-osm-2082534941	Pau D'Alho do Sul	-23.5168518	-50.8912611
PLACE	pr-osm-415523456	Paula Freitas	-26.2092739	-50.936462
PLACE	pr-osm-416646572	Paulistânia	-24.1558524	-53.3746495
PLACE	pr-osm-1490928572	Paulo Frontin	-26.0399524	-50.8337759
PLACE	pr-osm-416766219	Paz	-25.6687486	-52.1243342	Distrito de Paz
PLACE	pr-osm-415522940	Peabiru	-23.9142123	-52.3455598	Município de Peabiru
PLACE	pr-osm-5955766868	Pedreira	-24.0120741	-50.4548021
PLACE	pr-osm-415522893	Perobal	-23.894861	-53.409838
PLACE	pr-osm-416646538	Pinaré	-25.9026017	-51.1039779
PLACE	pr-osm-415523646	Pinhais	-25.4443488	-49.1900307
PLACE	pr-osm-415523254	Pinhal de São Bento	-26.0326418	-53.4837511
PLACE	pr-osm-3391819748	Pinhalzinho	-24.3964293	-49.2502292
PLACE	pr-osm-416646317	Pinhalzinho	-25.8878995	-53.0815183
PLACE	pr-osm-416646521	Pinhalzinho	-25.9107216	-51.3809401
PLACE	pr-osm-415523045	Pinhalão	-23.7889966	-50.0577318
PLACE	pr-osm-4516910893	Pinheiro	-25.6147804	-53.6812501
PLACE	pr-osm-415523398	Pinhão	-25.6960895	-51.6566366
PLACE	pr-osm-4300849339	Pio X	-25.6895544	-52.8547576
PLACE	pr-osm-416646608	Piquirivaí	-24.159922	-52.481333
PLACE	pr-osm-416645223	Pirapó	-23.5592285	-51.5393236	Distrito de Pirapó
PLACE	pr-osm-6777711835	Piraquara	-25.4423273	-49.0604473
PLACE	pr-osm-415523640	Piraí do Sul	-24.5346602	-49.9399216
PLACE	pr-osm-14007523178	Piriquitos	-25.040966	-50.245613
PLACE	pr-osm-415523496	Pitanga	-24.757677	-51.7592351
PLACE	pr-osm-415522985	Pitangueiras	-23.2313428	-51.587301
PLACE	pr-osm-415523612	Piên	-26.0988916	-49.4297904
PLACE	pr-osm-415522939	Planaltina do Paraná	-23.0228724	-52.9160307
PLACE	pr-osm-415523257	Planalto	-25.7184492	-53.767216	Município de Planalto
PLACE	pr-osm-416646586	Poema	-24.3308358	-51.9668289
PLACE	pr-osm-415523643	Ponta Grossa	-25.0891685	-50.1601812
PLACE	pr-osm-415523641	Pontal do Paraná	-25.574765	-48.3614806
PLACE	pr-osm-277425410	Pontal do Sul	-25.5747824	-48.3614848
PLACE	pr-osm-415523041	Porecatu	-22.753724	-51.37949
PLACE	pr-osm-416645191	Porteira Preta	-23.871022	-52.024069
PLACE	pr-osm-415523616	Porto Amazonas	-25.5494226	-49.8973805
PLACE	pr-osm-415523422	Porto Barreiro	-25.5466703	-52.409026
PLACE	pr-osm-2025065203	Porto Belo	-25.4709637	-54.5898173
PLACE	pr-osm-416645179	Porto Brasílio	-22.892963	-53.523992
PLACE	pr-osm-416645154	Porto Camargo	-23.365699	-53.7513181
PLACE	pr-osm-416646693	Porto de Cima	-25.4351873	-48.8773251
PLACE	pr-osm-7946345586	Porto Eucalipto	-22.7043678	-53.1482864
PLACE	pr-osm-416657004	Porto Figueira	-23.4032007	-53.8093752
PLACE	pr-osm-2144869291	Porto Maringá	-22.6688261	-53.0783029
PLACE	pr-osm-2175366891	Porto Mendes	-24.4891427	-54.3073232
PLACE	pr-osm-7946345619	Porto Natal	-23.1496449	-53.6356203
PLACE	pr-osm-415522930	Porto Rico	-22.774742	-53.267731
PLACE	pr-osm-416645177	Porto São Carlos	-23.3641534	-52.5238363
PLACE	pr-osm-416645184	Porto São José	-22.7198049	-53.1754265
PLACE	pr-osm-7946345596	Porto São Pedro	-22.7475016	-53.219281
PLACE	pr-osm-1251666898	Porto Ubá	-24.0446955	-51.6268131
PLACE	pr-osm-415523455	Porto Vitória	-26.1605673	-51.2239397
PLACE	pr-osm-2547744918	Portão do Ocoy	-25.1773327	-54.1819085
PLACE	pr-osm-7804605922	Posto Fiscal	-24.955163	-54.0378217
PLACE	pr-osm-415523038	Prado Ferreira	-23.039784	-51.4431235
PLACE	pr-osm-415523244	Pranchita	-26.0209403	-53.7396825
PLACE	pr-osm-415522963	Presidente Castelo Branco	-23.2790844	-52.1528771
PLACE	pr-osm-416646330	Presidente Kennedy	-25.8203476	-52.9167866
